"@timestamp","process.name","process.memory.pct","system.process.memory.rss.bytes","process.cpu.pct"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","2.5%","399.8MB","3%"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","1.4%","229.8MB","1.7%"
"Aug 27, 2021 @ 05:43:22.176","dwm.exe","1.1%","175.2MB","0.6%"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","1.9%","300.7MB","0.5%"
"Aug 27, 2021 @ 05:43:22.176","svchost.exe","0.1%","8.9MB","0.2%"
"Aug 27, 2021 @ 05:43:22.176","pycharm64.exe","5.5%","898.8MB","0%"
"Aug 27, 2021 @ 05:43:22.176","firefox.exe","1.9%","305.1MB","0.1%"
"Aug 27, 2021 @ 05:43:22.176","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","2.7%","431.8MB","4%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","1.4%","229.4MB","1.9%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","1.9%","301.3MB","1.3%"
"Aug 27, 2021 @ 05:43:12.179","dwm.exe","1.1%","175.2MB","0.9%"
"Aug 27, 2021 @ 05:43:12.179","svchost.exe","0.1%","8.9MB","0.3%"
"Aug 27, 2021 @ 05:43:12.179","pycharm64.exe","5.5%","898.8MB","0%"
"Aug 27, 2021 @ 05:43:12.179","firefox.exe","1.9%","305.1MB","0%"
"Aug 27, 2021 @ 05:43:12.179","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","1.8%","299.8MB","1.8%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","2.3%","381.2MB","1.6%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","1.4%","220.5MB","1%"
"Aug 27, 2021 @ 05:43:02.181","dwm.exe","1.1%","175.5MB","0.6%"
"Aug 27, 2021 @ 05:43:02.181","svchost.exe","0.2%","37.4MB","0.5%"
"Aug 27, 2021 @ 05:43:02.181","pycharm64.exe","5.5%","898.8MB","0%"
"Aug 27, 2021 @ 05:43:02.181","firefox.exe","1.9%",306MB,"0.1%"
"Aug 27, 2021 @ 05:43:02.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:52.185","sqlservr.exe","0.7%","120.7MB","1.5%"
"Aug 27, 2021 @ 05:42:52.185","explorer.exe","0.9%","145.7MB","1.1%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","1.8%","290.8MB","0.7%"
"Aug 27, 2021 @ 05:42:52.185","texstudio.exe","1.3%","213.3MB","0.5%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","1.4%","224.1MB","0.5%"
"Aug 27, 2021 @ 05:42:52.185","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","2%","317.4MB","0.3%"
"Aug 27, 2021 @ 05:42:52.185","firefox.exe","1.9%","303.6MB","0%"
"Aug 27, 2021 @ 05:42:52.185","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:42.186","texstudio.exe","1.3%","213.2MB","1.5%"
"Aug 27, 2021 @ 05:42:42.186","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:42:42.186","firefox.exe","1.8%","284.2MB","0.2%"
"Aug 27, 2021 @ 05:42:42.186","metricbeat.exe","0.4%","65.8MB","0.1%"
"Aug 27, 2021 @ 05:42:42.186","firefox.exe","1.9%","313.8MB","0%"
"Aug 27, 2021 @ 05:42:42.186","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:42.186","firefox.exe","1.9%","302.2MB","0%"
"Aug 27, 2021 @ 05:42:42.186","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:32.179","sqlservr.exe","0.7%","120.6MB","1.9%"
"Aug 27, 2021 @ 05:42:32.179","texstudio.exe","1.5%","240.6MB","0.5%"
"Aug 27, 2021 @ 05:42:32.179","dwm.exe","1.1%","175.2MB","0.2%"
"Aug 27, 2021 @ 05:42:32.179","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:42:32.179","metricbeat.exe","0.4%","65.4MB","0.1%"
"Aug 27, 2021 @ 05:42:32.179","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:32.179","firefox.exe","1.9%","312.3MB","0.1%"
"Aug 27, 2021 @ 05:42:32.179","firefox.exe","1.9%","302.2MB","0%"
"Aug 27, 2021 @ 05:42:32.179","firefox.exe","1.8%","288.3MB","0%"
"Aug 27, 2021 @ 05:42:32.179","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:22.176","texstudio.exe","1.5%","240.6MB","1%"
"Aug 27, 2021 @ 05:42:22.176","dwm.exe","1.1%","175.2MB","0.4%"
"Aug 27, 2021 @ 05:42:22.176","metricbeat.exe","0.4%","64.8MB","0.3%"
"Aug 27, 2021 @ 05:42:22.176","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:42:22.176","svchost.exe","0.1%","8.9MB","0.2%"
"Aug 27, 2021 @ 05:42:22.176","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:22.176","firefox.exe","1.9%",312MB,"0.2%"
"Aug 27, 2021 @ 05:42:22.176","firefox.exe","1.9%","302.3MB","0%"
"Aug 27, 2021 @ 05:42:22.176","firefox.exe","1.8%","288.1MB","0.1%"
"Aug 27, 2021 @ 05:42:22.176","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:12.181","texstudio.exe","1.5%","240.6MB","1.2%"
"Aug 27, 2021 @ 05:42:12.181","dwm.exe","1.1%","175.2MB","0.4%"
"Aug 27, 2021 @ 05:42:12.181","svchost.exe","0.1%","8.9MB","0.2%"
"Aug 27, 2021 @ 05:42:12.181","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:42:12.181","Razer Central.exe","0.6%",99MB,"0.2%"
"Aug 27, 2021 @ 05:42:12.181","pycharm64.exe","5.5%","898.9MB","0%"
"Aug 27, 2021 @ 05:42:12.181","firefox.exe","1.9%","315.2MB","0.1%"
"Aug 27, 2021 @ 05:42:12.181","firefox.exe","1.9%","302.3MB","0%"
"Aug 27, 2021 @ 05:42:12.181","firefox.exe","1.8%","287.9MB","0.1%"
"Aug 27, 2021 @ 05:42:12.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:42:02.181","texstudio.exe","1.5%","240.6MB","1.7%"
"Aug 27, 2021 @ 05:42:02.181","dwm.exe","1.1%","175.2MB","0.6%"
"Aug 27, 2021 @ 05:42:02.181","pycharm64.exe","5.5%","898.9MB","0.3%"
"Aug 27, 2021 @ 05:42:02.181","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:42:02.181","metricbeat.exe","0.4%","64.5MB","0.2%"
"Aug 27, 2021 @ 05:42:02.181","firefox.exe","2%","316.8MB","0%"
"Aug 27, 2021 @ 05:42:02.181","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:42:02.181","firefox.exe","1.8%","287.6MB","0.1%"
"Aug 27, 2021 @ 05:42:02.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:41:52.189","pycharm64.exe","5.5%","898.8MB","1.8%"
"Aug 27, 2021 @ 05:41:52.189","dwm.exe","1.1%","175.3MB","0.6%"
"Aug 27, 2021 @ 05:41:52.189","texstudio.exe","1.5%","240.6MB","0.5%"
"Aug 27, 2021 @ 05:41:52.189","notepad++.exe","0.1%",23MB,"0.2%"
"Aug 27, 2021 @ 05:41:52.189","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:41:52.189","firefox.exe","1.9%",315MB,"0%"
"Aug 27, 2021 @ 05:41:52.189","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:41:52.189","firefox.exe","1.8%","287.6MB","0.1%"
"Aug 27, 2021 @ 05:41:52.189","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:41:42.181","texstudio.exe","1.5%","240.6MB","2%"
"Aug 27, 2021 @ 05:41:42.181","sqlservr.exe","0.7%","120.7MB","1.2%"
"Aug 27, 2021 @ 05:41:42.181","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:41:42.181","metricbeat.exe","0.4%","64.7MB","0.2%"
"Aug 27, 2021 @ 05:41:42.181","dwm.exe","1.1%","175.4MB","0.2%"
"Aug 27, 2021 @ 05:41:42.181","pycharm64.exe","5.4%","881.3MB","0%"
"Aug 27, 2021 @ 05:41:42.181","firefox.exe","1.9%",314MB,"0.1%"
"Aug 27, 2021 @ 05:41:42.181","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:41:42.181","firefox.exe","1.7%","283.8MB","0.1%"
"Aug 27, 2021 @ 05:41:42.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:41:32.188","texstudio.exe","1.5%","240.6MB","2.5%"
"Aug 27, 2021 @ 05:41:32.188","RazerCentralService.exe","0.5%","73.8MB","0.4%"
"Aug 27, 2021 @ 05:41:32.188","dwm.exe","1.1%","175.3MB","0.2%"
"Aug 27, 2021 @ 05:41:32.188","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:41:32.188","Razer Synapse Service.exe","0.7%","115.4MB","0.2%"
"Aug 27, 2021 @ 05:41:32.188","pycharm64.exe","5.4%","881.2MB","0%"
"Aug 27, 2021 @ 05:41:32.188","firefox.exe","1.9%","312.8MB","0.1%"
"Aug 27, 2021 @ 05:41:32.188","firefox.exe","1.9%","301.1MB","0%"
"Aug 27, 2021 @ 05:41:32.188","firefox.exe","1.7%","283.6MB","0.1%"
"Aug 27, 2021 @ 05:41:32.188","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:41:22.176","sqlservr.exe","0.7%","120.6MB","2.4%"
"Aug 27, 2021 @ 05:41:22.176","texstudio.exe","1.5%","240.6MB","1.9%"
"Aug 27, 2021 @ 05:41:22.176","pycharm64.exe","5.4%","881.2MB","0.3%"
"Aug 27, 2021 @ 05:41:22.176","SteelSeriesEngine.exe","0.5%","79.7MB","0.3%"
"Aug 27, 2021 @ 05:41:22.176","dwm.exe","1.1%","175.3MB","0.3%"
"Aug 27, 2021 @ 05:41:22.176","firefox.exe","1.9%","310.7MB","0.2%"
"Aug 27, 2021 @ 05:41:22.176","firefox.exe","1.9%","301.1MB","0%"
"Aug 27, 2021 @ 05:41:22.176","firefox.exe","1.8%","286.1MB","0.1%"
"Aug 27, 2021 @ 05:41:22.176","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:41:12.180","texstudio.exe","1.5%","240.5MB","1.7%"
"Aug 27, 2021 @ 05:41:12.180","dwm.exe","1.1%","175.3MB","0.4%"
"Aug 27, 2021 @ 05:41:12.180","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.3%"
"Aug 27, 2021 @ 05:41:12.180","svchost.exe","0.1%","8.9MB","0.3%"
"Aug 27, 2021 @ 05:41:12.180","Razer Central.exe","0.6%",99MB,"0.2%"
"Aug 27, 2021 @ 05:41:12.180","pycharm64.exe","5.4%","877.5MB","0%"
"Aug 27, 2021 @ 05:41:12.180","firefox.exe","1.9%","315.5MB","0%"
"Aug 27, 2021 @ 05:41:12.180","firefox.exe","1.9%","301.1MB","0.1%"
"Aug 27, 2021 @ 05:41:12.180","firefox.exe","1.8%","286.1MB","0.1%"
"Aug 27, 2021 @ 05:41:12.180","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:41:02.178","texstudio.exe","1.5%","240.5MB","1.6%"
"Aug 27, 2021 @ 05:41:02.178","dwm.exe","1.1%","175.3MB","0.3%"
"Aug 27, 2021 @ 05:41:02.178","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:41:02.178","metricbeat.exe","0.4%","64.8MB","0.2%"
"Aug 27, 2021 @ 05:41:02.178","firefox.exe","1.8%","285.6MB","0.1%"
"Aug 27, 2021 @ 05:41:02.178","pycharm64.exe","5.4%","877.7MB","0%"
"Aug 27, 2021 @ 05:41:02.178","firefox.exe","1.9%","315.1MB","0.1%"
"Aug 27, 2021 @ 05:41:02.178","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:41:02.178","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:40:52.183","texstudio.exe","1.5%","240.5MB","3.3%"
"Aug 27, 2021 @ 05:40:52.183","dwm.exe","1.1%","175.3MB","0.3%"
"Aug 27, 2021 @ 05:40:52.183","metricbeat.exe","0.4%","64.5MB","0.3%"
"Aug 27, 2021 @ 05:40:52.183","fontdrvhost.exe","0.1%","11.7MB","0.3%"
"Aug 27, 2021 @ 05:40:52.183","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:40:52.183","pycharm64.exe","5.4%","877.7MB","0%"
"Aug 27, 2021 @ 05:40:52.183","firefox.exe","1.9%","314.8MB","0%"
"Aug 27, 2021 @ 05:40:52.183","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:40:52.183","firefox.exe","1.8%",286MB,"0.1%"
"Aug 27, 2021 @ 05:40:52.183","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:40:42.181","texstudio.exe","1.5%","240.5MB","1.9%"
"Aug 27, 2021 @ 05:40:42.181","sqlservr.exe","0.7%","120.8MB","1.1%"
"Aug 27, 2021 @ 05:40:42.181","svchost.exe","0.1%","8.8MB","0.3%"
"Aug 27, 2021 @ 05:40:42.181","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:40:42.181","Razer Central.exe","0.6%",99MB,"0.2%"
"Aug 27, 2021 @ 05:40:42.181","pycharm64.exe","5.4%","877.9MB","0%"
"Aug 27, 2021 @ 05:40:42.181","firefox.exe","1.9%",314MB,"0.1%"
"Aug 27, 2021 @ 05:40:42.181","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:40:42.181","firefox.exe","1.7%","283.7MB","0.1%"
"Aug 27, 2021 @ 05:40:42.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:40:32.178","texstudio.exe","1.5%","240.5MB","3%"
"Aug 27, 2021 @ 05:40:32.178","firefox.exe","1.7%","283.2MB","0.3%"
"Aug 27, 2021 @ 05:40:32.178","fontdrvhost.exe","0.1%","11.7MB","0.3%"
"Aug 27, 2021 @ 05:40:32.178","metricbeat.exe","0.4%",64MB,"0.2%"
"Aug 27, 2021 @ 05:40:32.178","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:40:32.178","pycharm64.exe","5.4%","877.9MB","0%"
"Aug 27, 2021 @ 05:40:32.178","firefox.exe","1.9%","313.4MB","0.1%"
"Aug 27, 2021 @ 05:40:32.178","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:40:32.178","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:40:22.179","texstudio.exe","1.5%","240.5MB","1.6%"
"Aug 27, 2021 @ 05:40:22.179","sqlservr.exe","0.7%","120.7MB","1%"
"Aug 27, 2021 @ 05:40:22.179","pycharm64.exe","5.4%","877.9MB","0.6%"
"Aug 27, 2021 @ 05:40:22.179","dwm.exe","1.1%","175.3MB","0.5%"
"Aug 27, 2021 @ 05:40:22.179","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:40:22.179","firefox.exe","1.9%","312.7MB","0.2%"
"Aug 27, 2021 @ 05:40:22.179","firefox.exe","1.9%","301.1MB","0%"
"Aug 27, 2021 @ 05:40:22.179","firefox.exe","1.8%","285.2MB","0.1%"
"Aug 27, 2021 @ 05:40:22.179","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:40:12.179","pycharm64.exe","5.4%","874.8MB","1.6%"
"Aug 27, 2021 @ 05:40:12.179","sqlservr.exe","0.7%","120.7MB","1.1%"
"Aug 27, 2021 @ 05:40:12.179","texstudio.exe","1.5%","240.5MB","0.6%"
"Aug 27, 2021 @ 05:40:12.179","dwm.exe","1.1%","175.4MB","0.3%"
"Aug 27, 2021 @ 05:40:12.179","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:40:12.179","firefox.exe","1.9%","315.8MB","0.1%"
"Aug 27, 2021 @ 05:40:12.179","firefox.exe","1.9%","301.1MB","0%"
"Aug 27, 2021 @ 05:40:12.179","firefox.exe","1.8%",285MB,"0.1%"
"Aug 27, 2021 @ 05:40:12.179","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:40:02.188","pycharm64.exe","5.5%","902.1MB","1.9%"
"Aug 27, 2021 @ 05:40:02.188","texstudio.exe","1.5%","240.5MB","0.8%"
"Aug 27, 2021 @ 05:40:02.188","dwm.exe","1.1%","175.4MB","0.5%"
"Aug 27, 2021 @ 05:40:02.188","metricbeat.exe","0.4%","64.1MB","0.2%"
"Aug 27, 2021 @ 05:40:02.188","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:40:02.188","firefox.exe","1.9%","315.4MB","0%"
"Aug 27, 2021 @ 05:40:02.188","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:40:02.188","firefox.exe","1.8%","284.9MB","0.1%"
"Aug 27, 2021 @ 05:40:02.188","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:39:52.178","pycharm64.exe","5.4%","880.3MB","4%"
"Aug 27, 2021 @ 05:39:52.178","texstudio.exe","1.5%","240.5MB","0.9%"
"Aug 27, 2021 @ 05:39:52.178","dwm.exe","1.1%","175.3MB","0.5%"
"Aug 27, 2021 @ 05:39:52.178","svchost.exe","0.1%","8.8MB","0.3%"
"Aug 27, 2021 @ 05:39:52.178","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:39:52.178","firefox.exe","1.9%",315MB,"0.1%"
"Aug 27, 2021 @ 05:39:52.178","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:39:52.178","firefox.exe","1.8%","284.5MB","0.2%"
"Aug 27, 2021 @ 05:39:52.178","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:39:42.181","texstudio.exe","1.5%","240.5MB","2.2%"
"Aug 27, 2021 @ 05:39:42.181","metricbeat.exe","0.4%","64.4MB","0.3%"
"Aug 27, 2021 @ 05:39:42.181","svchost.exe","0.1%","8.8MB","0.3%"
"Aug 27, 2021 @ 05:39:42.181","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:39:42.181","Razer Central.exe","0.6%",99MB,"0.1%"
"Aug 27, 2021 @ 05:39:42.181","pycharm64.exe","5.4%","877.4MB","0%"
"Aug 27, 2021 @ 05:39:42.181","firefox.exe","1.9%","314.8MB","0%"
"Aug 27, 2021 @ 05:39:42.181","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:39:42.181","firefox.exe","1.7%",284MB,"0.1%"
"Aug 27, 2021 @ 05:39:42.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:39:32.188","texstudio.exe","1.5%","240.5MB","2.2%"
"Aug 27, 2021 @ 05:39:32.188","sqlservr.exe","0.7%","120.8MB","1.1%"
"Aug 27, 2021 @ 05:39:32.188","fontdrvhost.exe","0.1%","11.7MB","0.2%"
"Aug 27, 2021 @ 05:39:32.188","dwm.exe","1.1%","175.3MB","0.2%"
"Aug 27, 2021 @ 05:39:32.188","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:39:32.188","pycharm64.exe","5.4%","877.4MB","0%"
"Aug 27, 2021 @ 05:39:32.188","firefox.exe","1.9%",314MB,"0.1%"
"Aug 27, 2021 @ 05:39:32.188","firefox.exe","1.9%","300.9MB","0%"
"Aug 27, 2021 @ 05:39:32.188","firefox.exe","1.7%","283.8MB","0.1%"
"Aug 27, 2021 @ 05:39:32.188","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:39:22.175","texstudio.exe","1.5%","240.5MB","1.8%"
"Aug 27, 2021 @ 05:39:22.175","SteelSeriesEngine.exe","0.5%","77.5MB","0.5%"
"Aug 27, 2021 @ 05:39:22.175","firefox.exe","1.7%","283.6MB","0.2%"
"Aug 27, 2021 @ 05:39:22.175","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:39:22.175","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:39:22.175","pycharm64.exe","5.4%","877.3MB","0%"
"Aug 27, 2021 @ 05:39:22.175","firefox.exe","1.9%","313.1MB","0.2%"
"Aug 27, 2021 @ 05:39:22.175","firefox.exe","1.9%",301MB,"0%"
"Aug 27, 2021 @ 05:39:22.175","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:39:12.176","sqlservr.exe","0.7%","120.7MB","2.8%"
"Aug 27, 2021 @ 05:39:12.176","texstudio.exe","1.5%","240.5MB","1.8%"
"Aug 27, 2021 @ 05:39:12.176","dwm.exe","1.1%","175.3MB","0.2%"
"Aug 27, 2021 @ 05:39:12.176","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:39:12.176","metricbeat.exe","0.4%","63.7MB","0.2%"
"Aug 27, 2021 @ 05:39:12.176","pycharm64.exe","5.4%","877.4MB","0%"
"Aug 27, 2021 @ 05:39:12.176","firefox.exe","1.9%","310.5MB","0.1%"
"Aug 27, 2021 @ 05:39:12.176","firefox.exe","1.9%","301.1MB","0%"
"Aug 27, 2021 @ 05:39:12.176","firefox.exe","1.8%","284.8MB","0%"
"Aug 27, 2021 @ 05:39:12.176","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:39:02.184","texstudio.exe","1.5%","240.5MB","1.5%"
"Aug 27, 2021 @ 05:39:02.184","dwm.exe","1.1%","175.3MB","0.4%"
"Aug 27, 2021 @ 05:39:02.184","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.3%"
"Aug 27, 2021 @ 05:39:02.184","metricbeat.exe","0.4%","64.1MB","0.2%"
"Aug 27, 2021 @ 05:39:02.184","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:39:02.184","pycharm64.exe","5.4%","877.4MB","0%"
"Aug 27, 2021 @ 05:39:02.184","firefox.exe","1.9%","315.3MB","0.1%"
"Aug 27, 2021 @ 05:39:02.184","firefox.exe","1.9%","301.4MB","0%"
"Aug 27, 2021 @ 05:39:02.184","firefox.exe","1.8%","284.7MB","0.1%"
"Aug 27, 2021 @ 05:39:02.184","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:38:52.188","texstudio.exe","1.5%","240.5MB","0.6%"
"Aug 27, 2021 @ 05:38:52.188","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.3%"
"Aug 27, 2021 @ 05:38:52.188","svchost.exe","0.1%","8.8MB","0.3%"
"Aug 27, 2021 @ 05:38:52.188","firefox.exe","1.8%","284.3MB","0.2%"
"Aug 27, 2021 @ 05:38:52.188","firefox.exe","1.5%","248.1MB","0.1%"
"Aug 27, 2021 @ 05:38:52.188","pycharm64.exe","5.4%","877.4MB","0%"
"Aug 27, 2021 @ 05:38:52.188","firefox.exe","1.9%","314.8MB","0.1%"
"Aug 27, 2021 @ 05:38:52.188","firefox.exe","1.9%","301.3MB","0%"
"Aug 27, 2021 @ 05:38:52.188","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:38:42.181","texstudio.exe","1.5%","240.5MB","3%"
"Aug 27, 2021 @ 05:38:42.181","fontdrvhost.exe","0.1%","11.7MB","0.3%"
"Aug 27, 2021 @ 05:38:42.181","svchost.exe","0.1%","8.8MB","0.3%"
"Aug 27, 2021 @ 05:38:42.181","dwm.exe","1.1%","175.3MB","0.2%"
"Aug 27, 2021 @ 05:38:42.181","metricbeat.exe","0.4%","64.5MB","0.2%"
"Aug 27, 2021 @ 05:38:42.181","pycharm64.exe","5.4%","877.5MB","0%"
"Aug 27, 2021 @ 05:38:42.181","firefox.exe","1.9%",315MB,"0%"
"Aug 27, 2021 @ 05:38:42.181","firefox.exe","1.9%","301.3MB","0%"
"Aug 27, 2021 @ 05:38:42.181","firefox.exe","1.7%",284MB,"0%"
"Aug 27, 2021 @ 05:38:42.181","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:38:32.186","texstudio.exe","1.5%","240.4MB","1.8%"
"Aug 27, 2021 @ 05:38:32.186","sqlservr.exe","0.7%","120.9MB","0.5%"
"Aug 27, 2021 @ 05:38:32.186","svchost.exe","0.1%","8.8MB","0.2%"
"Aug 27, 2021 @ 05:38:32.186","metricbeat.exe","0.4%","65.1MB","0.2%"
"Aug 27, 2021 @ 05:38:32.186","fontdrvhost.exe","0.1%","11.7MB","0.1%"
"Aug 27, 2021 @ 05:38:32.186","pycharm64.exe","5.4%","877.6MB","0%"
"Aug 27, 2021 @ 05:38:32.186","firefox.exe","1.9%","314.1MB","0.1%"
"Aug 27, 2021 @ 05:38:32.186","firefox.exe","1.9%","301.3MB","0%"
"Aug 27, 2021 @ 05:38:32.186","firefox.exe","1.7%","283.9MB","0.1%"
"Aug 27, 2021 @ 05:38:32.186","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:38:22.189","texstudio.exe","1.5%","240.4MB","2.1%"
"Aug 27, 2021 @ 05:38:22.189","sqlservr.exe","0.7%","120.9MB","0.8%"
"Aug 27, 2021 @ 05:38:22.189","firefox.exe","1.7%","283.6MB","0.3%"
"Aug 27, 2021 @ 05:38:22.189","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.3%"
"Aug 27, 2021 @ 05:38:22.189","svchost.exe","0.1%","8.9MB","0.2%"
"Aug 27, 2021 @ 05:38:22.189","pycharm64.exe","5.4%","878.1MB","0%"
"Aug 27, 2021 @ 05:38:22.189","firefox.exe","1.9%","313.4MB","0.1%"
"Aug 27, 2021 @ 05:38:22.189","firefox.exe","1.9%","301.3MB","0%"
"Aug 27, 2021 @ 05:38:22.189","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:38:12.182","texstudio.exe","1.5%","240.4MB","2.7%"
"Aug 27, 2021 @ 05:38:12.182","sqlservr.exe","0.7%","120.8MB","0.4%"
"Aug 27, 2021 @ 05:38:12.182","svchost.exe","0.1%","8.8MB","0.3%"
"Aug 27, 2021 @ 05:38:12.182","firefox.exe","1.8%","285.3MB","0.2%"
"Aug 27, 2021 @ 05:38:12.182","CefSharp.BrowserSubprocess.exe","0.3%","55.6MB","0.2%"
"Aug 27, 2021 @ 05:38:12.182","pycharm64.exe","5.4%","878.1MB","0%"
"Aug 27, 2021 @ 05:38:12.182","firefox.exe","1.9%","310.9MB","0.1%"
"Aug 27, 2021 @ 05:38:12.182","firefox.exe","1.9%","301.3MB","0%"
"Aug 27, 2021 @ 05:38:12.182","SearchApp.exe","1.7%","278.7MB","0%"
"Aug 27, 2021 @ 05:38:02.176","texstudio.exe","1.5%","240.4MB","3%"
